[ 2017-12-13T10:23:38+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-12-13T10:23:38+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000411s ]
[ 2017-12-13T10:23:38+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000472s ]
[ 2017-12-13T10:23:38+08:00 ] / | SQL: SHOW COLUMNS FROM `lzh_redlog` [ RunTime:0.008065s ]
[ 2017-12-13T10:23:38+08:00 ] / | NOTIC: [8] Undefined variable: uid IndexAction.class.php 第 354 行.
[ 2017-12-13T10:23:38+08:00 ] / | SQL: SELECT * FROM `lzh_redlog` WHERE uid= and red_type=9 LIMIT 1   [ RunTime:0.011885s ]
[ 2017-12-13T10:23:38+08:00 ] / | NOTIC: [8] Undefined variable: uid IndexAction.class.php 第 357 行.
[ 2017-12-13T10:23:38+08:00 ] / | SQL: SHOW COLUMNS FROM `lzh_advertisement` [ RunTime:0.008674s ]
[ 2017-12-13T10:23:38+08:00 ] / | SQL: SELECT `image`,`href`,`order_sx`,`id` FROM `lzh_advertisement` WHERE is_show=1 and flog=2 ORDER BY order_sx asc  [ RunTime:0.011219s ]
[ 2017-12-13T10:23:48+08:00 ] / | SQL: SHOW COLUMNS FROM `lzh_article` [ RunTime:0.009275s ]
[ 2017-12-13T10:23:48+08:00 ] / | SQL: SELECT * FROM `lzh_article` WHERE type_id=9 and art_indexradio=1 ORDER BY id desc LIMIT 3   [ RunTime:0.239808s ]
[ 2017-12-13T10:23:48+08:00 ] / | SQL: SELECT * FROM `lzh_article` WHERE type_id=30 and art_indexradio=1 ORDER BY id desc LIMIT 3   [ RunTime:0.057247s ]
[ 2017-12-13T10:23:49+08:00 ] / | SQL: SELECT * FROM `lzh_article` WHERE type_id=34 and art_indexradio=1 ORDER BY id desc LIMIT 3   [ RunTime:0.727946s ]
[ 2017-12-13T10:23:49+08:00 ] / | SQL: SELECT * FROM `lzh_article` WHERE type_id=9 ORDER BY id desc LIMIT 1   [ RunTime:0.048595s ]
[ 2017-12-13T10:23:49+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-12-13T10:23:49+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.003950s ]
[ 2017-12-13T10:23:49+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.004123s ]
[ 2017-12-13T10:23:49+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-12-13T10:23:49+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.041722s ]
[ 2017-12-13T10:23:49+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.041886s ]
[ 2017-12-13T10:23:49+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-12-13T10:23:49+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.001844s ]
[ 2017-12-13T10:23:49+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.002063s ]
[ 2017-12-13T10:23:49+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000592s ]
[ 2017-12-13T10:23:49+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000876s ]
[ 2017-12-13T10:23:49+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005604s ]
[ 2017-12-13T10:23:49+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2017-12-13T10:23:49+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.001034s ]
[ 2017-12-13T10:23:49+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.001092s ]
[ 2017-12-13T10:25:39+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-12-13T10:25:39+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000585s ]
[ 2017-12-13T10:25:39+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000636s ]
[ 2017-12-13T10:25:39+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-12-13T10:25:39+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001039s ]
[ 2017-12-13T10:25:39+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001106s ]
[ 2017-12-13T10:25:39+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-12-13T10:25:39+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.008783s ]
[ 2017-12-13T10:25:39+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008817s ]
[ 2017-12-13T10:25:39+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-12-13T10:25:39+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000433s ]
[ 2017-12-13T10:25:39+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000480s ]
[ 2017-12-13T10:25:39+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000487s ]
[ 2017-12-13T10:25:39+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000614s ]
[ 2017-12-13T10:25:39+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002115s ]
[ 2017-12-13T10:25:39+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2017-12-13T10:25:39+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000639s ]
[ 2017-12-13T10:25:39+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000669s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001280s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001456s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000998s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001095s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.007574s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007632s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000348s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000376s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000238s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000468s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001563s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000490s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000538s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001031s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001170s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000788s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000876s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.010698s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010754s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000229s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000248s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000157s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000310s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001030s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000322s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000352s ]
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-12-13T10:25:40+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000382s ]
